1,Robert Bohm,Austria,male,1980-07-30,2018-09-02
2,Wolfgang Ackermann,Austria,male,1971-11-17,2018-10-15
3,Daniela Herzog,Austria,female,1974-08-07,2019-02-14
4,Julia Jung,Austria,female,1991-01-04,2017-11-22
5,Juliane Kirsch,Austria,female,1977-03-01,2018-12-16
6,Rowanne Couperus,Belgium,female,1994-04-05,2018-08-26
7,Annelous Sneep,Belgium,female,1993-11-14,2018-05-12
8,Jaëla van den Dolder,Belgium,female,1990-08-31,2018-02-08
9,Antal van Looij,Belgium,male,1982-06-18,2019-03-10
10,Arnout Veenhuis,Belgium,male,1984-07-26,2017-01-28
11,Yakup Mes,Belgium,male,1978-04-28,2019-02-19
12,Kristine J. Lauritsen,Denmark,female,1994-01-14,2018-12-02
13,Thomas T. Nissen,Denmark,male,1975-09-25,2017-04-30
14,Niels M. Holm,Denmark,male,1991-12-29,2018-01-26
15,Jasmin M. Krogh,Denmark,female,1977-11-12,2018-06-20
16,Sofia J. Pedersen,Denmark,female,1990-05-27,2018-10-02
17,Ida E. Gregersen,Denmark,female,1998-09-15,2018-02-07
18,Nikolaj L. Jensen,Denmark,male,1995-06-03,2019-01-14
19,Avelaine Piedalue,France,female,1972-04-14,2017-01-13
20,Jacqueline Cloutier,France,female,1990-09-30,2018-11-03
21,Avelaine Corbeil,France,female,1986-03-17,2017-06-11
22,Delit Perillard,France,female,1970-01-10,2018-11-18
23,Fleurette Pomerleau,France,female,1981-12-10,2017-09-04
24,Christien Tachel,France,male,1991-06-26,2018-09-21
25,Fiacre Montminy,France,male,1973-08-01,2017-03-29
26,Marcel Sicard,France,male,1988-08-06,2017-01-20
27,Perrin Patel,France,male,1994-10-30,2018-12-20
28,Sidney Généreux,France,male,1980-12-01,2017-02-04
29,Loyal Arcouet,France,male,1995-08-13,2017-10-30
30,Gradasso Mousseau,France,male,1976-07-11,2017-10-10
31,Christien D'Aubigné,France,male,1986-11-06,2018-02-13
32,Hayden O'Donnell,Great Britan,male,1991-11-07,2017-11-20
33,Oliver Fleming,Great Britan,male,1981-03-04,2018-02-22
34,Oscar Stanley,Great Britan,male,1993-12-01,2017-03-31
35,Harvey Jarvis,Great Britan,male,1990-01-16,2017-05-22
36,Jacob Hope,Great Britan,male,1979-08-27,2018-06-24
37,Sienna Forster,Great Britan,female,1984-12-16,2018-12-09
38,Millie Marsden,Great Britan,female,1974-07-02,2017-11-06
39,Amy Haynes,Great Britan,female,1975-07-28,2018-01-19
40,Matilda Connor,Great Britan,female,1990-12-18,2019-01-18
41,Zara Mitchell,Great Britan,female,1994-07-08,2017-06-12
42,Takáts Agoti,Hungary,female,1992-07-07,2018-11-08
43,Szôllôs Erzebet,Hungary,female,1995-09-04,2018-08-17
44,Lakatos Mária,Hungary,female,1994-11-28,2018-08-12
45,Vargha Ivett,Hungary,female,1998-11-27,2017-08-09
46,Söröss Ema,Hungary,female,1984-03-13,2017-06-26
47,Kállai Sólyom,Hungary,male,1983-10-29,2018-10-18
48,Mayer Károly,Hungary,male,1991-06-02,2019-02-26
49,Havasy Kristof,Hungary,male,1998-06-13,2017-01-18
50,Csordás Ármin,Hungary,male,1986-11-30,2018-04-23
51,Sághy Sebes,Hungary,male,1976-01-04,2017-03-15
52,Szepessi Marton,Hungary,male,1983-03-14,2018-03-24
53,Teresio Panicucci,Italy,male,1999-07-21,2018-11-06
54,Demetrio Palermo,Italy,male,1997-10-10,2018-10-17
55,Facino Milano,Italy,male,1973-05-23,2018-01-02
56,Dionisio Li Fonti,Italy,male,1998-01-11,2019-02-12
57,Mario Lettiere,Italy,male,1975-05-04,2018-01-30
58,Rocco Buccho,Italy,male,1999-07-03,2018-02-27
59,Cristoforo Mancini,Italy,male,1980-06-05,2018-01-12
60,Gloria Folliero,Italy,female,1972-03-09,2018-10-24
61,Nella Manfrin,Italy,female,1974-01-11,2017-05-14
62,Gina Lucciano,Italy,female,1985-11-29,2018-05-22
63,Candida Padovano,Italy,female,1976-03-21,2018-10-13
64,Dalia Lucciano,Italy,female,1972-09-18,2018-09-20
65,Vittoria Bellucci,Italy,female,1978-04-02,2017-04-09
66,Filippa Toscani,Italy,female,1981-04-23,2017-02-28
67,Dora Milanesi,Italy,female,1998-04-19,2018-11-22
68,Irma Siciliani,Italy,female,1980-01-20,2019-02-18
69,Violetta Pagnotto,Italy,female,1999-05-04,2018-12-23
70,Annabella Endrizzi,Italy,female,1971-07-31,2018-05-10
71,Donata Bellucci,Italy,female,1981-04-02,2017-11-23
72,Macaria Onio,Italy,female,1997-04-20,2017-09-07
73,Veneranda Milani,Italy,female,1983-01-15,2018-01-15
74,Fausto Sabbatini,Italy,male,1978-01-23,2018-03-16
75,Luca Pinto,Italy,male,1971-02-04,2019-03-09
76,Michelino Barese,Italy,male,1986-04-22,2017-10-06
77,Nunzio Milanesi,Italy,male,1972-04-06,2018-04-27
78,Doroteo Napolitano,Italy,male,1992-06-01,2017-07-27
79,Quarantino Barese,Italy,male,1978-11-29,2017-09-27
80,Tymoteusz Nowak,Poland,male,1983-07-27,2018-11-17
81,Jarek Tomaszewski,Poland,male,1972-11-30,2018-11-01
82,Dobrogost Nowakowski,Poland,male,1993-08-14,2018-02-21
83,Marek Zawadzki,Poland,male,1995-11-21,2019-04-01
84,Maksym Wojciechowski,Poland,male,1992-11-23,2018-08-15
85,Teofil Szczepański,Poland,male,1979-02-25,2018-10-14
86,Albin Jaworski,Poland,male,1984-05-01,2017-12-15
87,Frydryk Wieczorek,Poland,male,1996-11-17,2017-06-01
88,Bazyli Kalinowski,Poland,male,1973-03-07,2018-07-26
89,Klementyna Borkowska,Poland,female,1975-05-10,2017-03-03
90,Zosia Adamczyk,Poland,female,1988-12-31,2019-01-13
91,Ewa Zawadzka,Poland,female,1988-07-13,2018-01-05
92,Honorata Nowak,Poland,female,1986-05-02,2017-09-21
93,Ivi Boškan,Slovenia,female,1997-08-12,2017-04-19
94,Seima Andreč,Slovenia,female,1989-11-19,2017-04-08
95,Darija Pokec,Slovenia,female,1992-01-28,2017-05-31
96,Cvijeta Hervatski,Slovenia,female,1981-07-15,2018-09-19
97,Šida Črnčič,Slovenia,female,1978-08-21,2017-06-18
98,Nesiha Tomat,Slovenia,female,1977-07-07,2017-09-22
99,Majdi Rozin,Slovenia,female,1996-09-12,2017-01-31
100,Tonček Bolje,Slovenia,male,1992-12-14,2018-02-20
101,Tunjo Krličević,Slovenia,male,1994-10-29,2019-03-23
102,Jaša Zorzut,Slovenia,male,1984-10-06,2018-07-15
103,Seljim Runovec,Slovenia,male,1982-01-12,2017-08-12
104,Dimitri Zambrano Morales,Spain,male,1992-06-21,2017-04-12
105,Micael Cardona Razo,Spain,male,1989-12-04,2017-09-10
106,Jenofonte Gaona Mireles,Spain,male,1998-12-18,2017-12-21
107,Filippo Segovia Muro,Spain,male,1996-12-29,2018-02-12
